GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,Geography,Geographic Area Name_x,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,"HOUSEHOLD INCOME Less than $10,000","HOUSEHOLD INCOME $10,000 to $24,999","HOUSEHOLD INCOME $25,000 to $34,999","HOUSEHOLD INCOME $35,000 to $49,999","HOUSEHOLD INCOME $50,000 to $74,999","HOUSEHOLD INCOME $75,000 to $99,999","HOUSEHOLD INCOME $100,000 to $149,999","HOUSEHOLD INCOME $150,000 or more",Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total No bedroom,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City Name,city,county_name,lat,lng,population,density
126992,AL,Foley,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,50,50,2,2,2,2,0.3,0,1,0,0,0,0,1,1,2,3,2,0,0,28,28,50,2,0.3,1.2388269,0.164805906,1.476116591,1600000US0126992,"Foley city, Alabama",4040,231300,163,110,0,3706,61,242,510,146,357,882,687,646,570,73419,1294,617,960,,750,896,1584,Foley,Foley,Baldwin,30.3983,-87.665,21113,250.7
128552,AL,Fultondale,City,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,30,35,2,1,1.2,1,0.625,1,0,0,0,0,0,0,1,0,3,1,0,0,28,14,30,1.2,0.625,-0.347493905,-0.672982786,0.513953891,1600000US0128552,"Fultondale city, Alabama",1885,198900,0,123,0,1759,3,2,23,80,100,517,306,459,398,87326,1270,939,1097,,971,1215,1146,Fultondale,Fultondale,Jefferson,33.6174,-86.8014,9756,310.4
132416,AL,Guntersville,City,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,4,2,1,25,25,2,2,1,1,0.363636364,0,1,0,0,0,0,1,3,4,2,2,0,1,28,28,25,1,0.363636364,-0.744074106,-0.882429958,2.896586021,1600000US0132416,"Guntersville city, Alabama",1203,286100,30,174,1,951,47,10,38,31,55,201,119,323,426,117266,1674,1049,722,725,397,700,844,Guntersville,Guntersville,Marshall,34.3671,-86.2637,8644,130.2
133448,AL,Hartselle,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,3,2,1,35,35,3,3,2,2,0.25,0,0,1,0,0,0,1,1,3,2,3,0,1,42,42,35,2,0.25,0.049086297,0.164805906,1.37125028,1600000US0133448,"Hartselle city, Alabama",2514,179700,54,254,0,2153,53,48,78,65,232,422,342,710,617,102838,1209,607,775,,533,680,910,Hartselle,Hartselle,Morgan,34.4391,-86.9396,15414,357.4
137000,AL,Huntsville,City,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,30,30,2,2,1.5,1,0.285714286,0,1,0,0,0,0,0,2,2,3,2,0,0,28,28,30,1.5,0.285714286,-0.347493905,-0.358812026,1.352744895,1600000US0137000,"Huntsville city, Alabama",32329,249200,779,2579,53,28412,506,524,1731,1637,2133,4818,3871,7653,9962,107155,1464,1219,1020,749,858,1016,1181,Huntsville,Huntsville,Madison,34.6981,-86.6412,349482,376.2
143120,AL,Lincoln,City,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,35,35,,,2,1,0.125,0,0,1,0,0,0,1,4,2,2,3,0,0,,,35,2,0.125,0.049086297,0.164805906,2.152012404,1600000US0143120,"Lincoln city, Alabama",1274,195400,0,40,0,1218,16,2,243,41,20,224,149,342,253,98542,1302,764,997,,,1074,978,Lincoln,Lincoln,Talladega,33.5935,-86.1365,6968,104.8
145784,AL,Madison,City,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,2,2,1.5,2,0.428571429,1,0,0,0,0,0,1,3,2,3,1,0,0,28,28,35,1.5,0.428571429,0.049086297,-0.358812026,2.605611177,1600000US0145784,"Madison city, Alabama",12111,332100,116,1004,0,10697,294,184,213,196,374,1426,1347,2747,5624,141600,1831,1663,1201,1077,1081,1092,1434,Madison,Madison,Madison,34.7114,-86.7626,56967,724.1
150000,AL,Mobile,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,1,32,35,3,2,2,2,0.333333333,0,1,0,0,0,0,0,1,1,3,2,0,1,42,28,32,2,0.333333333,-0.188861824,0.164805906,0.564702646,1600000US0150000,"Mobile city, Alabama",23806,172000,426,1702,73,20946,659,533,1684,1492,3046,4269,3335,4697,4750,78884,1292,958,985,738,795,991,1156,Mobile,Mobile,Mobile,30.6782,-88.1162,320855,515.7
150192,AL,Monroeville,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,0,35,35,2.5,2.5,2,2,0.571428571,1,0,0,0,0,0,0,1,1,3,1,0,0,35,35,35,2,0.571428571,0.049086297,0.164805906,0.909795046,1600000US0150192,"Monroeville city, Alabama",666,178300,11,10,0,645,0,0,122,78,111,90,119,61,85,55368,1024,561,641,,340,595,885,Monroeville,Monroeville,Monroe,31.5162,-87.3279,5917,171.1
151696,AL,MountainBrook,City,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,3,2,0,35,35,4,2.5,2,2,0.142857143,0,0,1,0,0,0,0,2,3,2,3,0,0,56,35,35,2,0.142857143,0.049086297,0.164805906,1.247878583,1600000US0151696,"Mountain Brook city, Alabama",4183,764000,82,1080,0,2931,90,36,123,35,117,102,383,587,2800,202199,3291,6225,1521,,1299,1740,1458,Mountain Brook,Mountain Brook,Jefferson,33.4871,-86.74,22259,669.3
157000,AL,Oneonta,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,0,259,18,2.5,6,1,1,0.363636364,1,0,0,0,0,0,1,1,1,3,1,0,0,35,84,,1,0.363636364,,-0.882429958,1.425367836,1600000US0157000,"Oneonta city, Alabama",721,315900,0,54,0,667,0,0,48,3,78,83,59,121,329,140250,1596,1421,624,,458,709,,Oneonta,Oneonta,Blount,33.9394,-86.4932,6925,168.9
157048,AL,Opelika,City,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,30,30,2,2,2,2,0.25,0,1,0,0,0,0,0,3,2,3,2,0,0,28,28,30,2,0.25,-0.347493905,0.164805906,1.744945988,1600000US0157048,"Opelika city, Alabama",5089,198300,202,353,66,4409,59,176,586,233,535,811,1124,863,761,76315,1275,1016,872,400,621,914,1053,Opelika,Opelika,Lee,32.6612,-85.3769,31361,198
157120,AL,Opp,City,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,55,65,3,3,2,1,0.666666667,1,0,0,0,0,0,1,2,2,2,1,0,1,42,42,55,2,0.666666667,1.635407102,0.164805906,2.057795018,1600000US0157120,"Opp city, Alabama",903,127300,40,72,0,769,22,26,71,75,113,112,174,236,96,84327,1163,434,679,,381,603,751,Opp,Opp,Covington,31.2848,-86.257,6741,110
162328,AL,Prattville,City,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,35,35,2,2,2,2,0.571428571,0,1,0,0,0,0,0,2,0,2,2,0,0,28,28,35,2,0.571428571,0.049086297,0.164805906,0.405447518,1600000US0162328,"Prattville city, Alabama",6535,201500,327,325,6,5858,19,161,286,235,542,1130,943,1630,1608,98554,1349,647,1261,,1153,1115,1349,Prattville,Prattville,Autauga,32.4597,-86.4573,38124,412
163288,AL,Rainbow,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,,,1,1,0.333333333,0,1,0,0,0,0,0,1,2,3,2,0,0,,,35,1,0.333333333,0.049086297,-0.882429958,0.960543801,1600000US0163288,"Rainbow City city, Alabama",1319,168400,71,60,0,1168,20,21,42,19,150,113,250,436,288,103573,1385,728,959,,634,986,915,Rainbow City,Rainbow City,Etowah,33.9336,-86.0922,10184,153.7
165040,AL,Roanoke,City,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,,,3,3,2,2,0.4,0,0,1,0,0,0,0,1,0,3,3,0,0,42,42,,2,0.4,,0.164805906,-0.176230909,1600000US0165040,"Roanoke city, Alabama",637,101700,55,40,8,534,0,0,24,45,197,130,119,87,35,62375,968,364,592,,433,710,769,Roanoke,Roanoke,Randolph,33.1453,-85.3694,5346,110.2
168736,AL,Scottsboro,City,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,55,65,4,3,2,1,0.666666667,1,0,0,0,0,0,1,2,2,2,1,0,1,56,42,55,2,0.666666667,1.635407102,0.164805906,2.057795018,1600000US0168736,"Scottsboro city, Alabama",2235,171700,37,34,0,2135,29,64,141,170,384,365,234,487,390,74654,1217,619,734,,525,772,917,Scottsboro,Scottsboro,Jackson,34.6438,-86.0491,15543,118.5
171832,AL,Southside,City,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,3,3,0,29.5,45,3,3,1,1,0.375,1,0,0,0,0,0,1,3,3,3,1,1,0,42,42,29.5,1,0.375,-0.387151925,-0.882429958,3.476863713,1600000US0171832,"Southside city, Alabama",1587,188300,26,26,0,1510,25,40,49,90,108,325,327,368,280,91607,1226,891,1105,,,,1115,Southside,Southside,Etowah,33.9007,-86.0238,9358,189.1
174592,AL,Talladega,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,45,45,3,3,1,1,0.285714286,0,1,0,0,0,0,1,1,2,2,2,0,0,42,42,45,1,0.285714286,0.842246699,-0.882429958,1.320501525,1600000US0174592,"Talladega city, Alabama",1312,118100,12,180,0,1120,0,15,62,183,112,261,223,280,176,76106,1118,439,687,556,502,751,755,Talladega,Talladega,Talladega,33.4333,-86.0986,15071,223.4
176944,AL,Trussville,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,80,80,3,3,2,2,0.35,0,1,0,0,0,0,0,1,2,3,2,0,0,42,42,80,2,0.35,3.618308108,0.164805906,0.960543801,1600000US0176944,"Trussville city, Alabama",5952,339800,148,436,0,5270,98,37,105,193,111,671,924,1348,2563,131679,1912,1697,1389,,,1091,1407,Trussville,Trussville,Jefferson,33.6405,-86.5815,25621,285
178204,AL,Valley,City,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,35,35,0.5,0.5,5,5,0.454545455,1,0,0,0,0,0,0,1,1,3,1,0,0,7,7,35,5,0.454545455,0.049086297,3.306513498,0.909795046,1600000US0178204,"Valley city, Alabama",1448,128600,8,26,0,1414,0,14,130,104,254,246,291,273,136,71855,1142,475,979,870,444,950,1141,Valley,Valley,Chambers,32.8088,-85.181,10442,312.8
